gpio_pin,id,net_name,function,type
PF14,F14,STM32__IGN1,Ignition 1,output
PF12,F12,STM32__IGN2,Ignition 2,output
PF13,F13,STM32__IGN3,Ignition 3,output
PF15,F15,STM32__IGN4,Ignition 4,output
PG10,G10,STM32__IGN5,Ignition 5,output
PG9,G9,STM32__IGN6,Ignition 6,output
PD7,D7,STM32__IGN7,Ignition 7,output
PG11,G11,STM32__IGN8,Ignition 8,output
PB8,B8,STM32__INJ1,Injector 1,output
PE2,E2,STM32__INJ2,Injector 2,output
PE4,E4,STM32__INJ3,Injector 3,output
PC13,C13,STM32__INJ4,Injector 4,output
PB9,B9,STM32__INJ5,Injector 5,output
PE5,E5,STM32__INJ6,Injector 6,output
PE3,E3,STM32__INJ7,Injector 7,output
PE6,E6,STM32__INJ8,Injector 8,output
PC8,C8,STM32__VVT_1,VVT 1 (Bank1 Exhaust),output
PC9,C9,STM32__VVT_2,VVT 2 (Bank1 Intake),output
PC6,C6,STM32__VVT_4,VVT 3 (Bank2 Exhaust),output
PC7,C7,STM32__VVT_3,VVT 4 (Bank2 Intake),output
PI7,I7,STM32__ETB_PWM,ETB1 PWM,output
PI5,I5,STM32__ETB_DIR,ETB1 Direction,output
PI4,I4,STM32__ETB_DIS,ETB1 Disable,output
PI6,I6,STM32__ETB2_PWM,ETB2 PWM,output
PE1,E1,STM32__ETB2_DIR,ETB2 Direction,output
PE0,E0,STM32__ETB2_DIS,ETB2 Disable,output
PC4,C4,STM32__MREL,Main Relay,output
PE12,E12,STM32__FUEL_PUMP,Fuel Pump Relay,output
PE14,E14,STM32__FAN_RELAY,Fan 1 Relay,output
PB0,B0,STM32__FAN2,Fan 2,output
PE13,E13,STM32__AC_CL,AC Clutch Relay,output
PE11,E11,STM32__ALT_CTRL,Alternator Control,output
PH12,H12,STM32__BOOST_SOLENOID,Boost Solenoid,output
PD9,D9,STM32__TACH,Tachometer Output,output
PG2,G2,STM32__PURGE,Purge Solenoid,output
PG3,G3,STM32__CUTOUT_CONTROL,Cutout Control,output
PG4,G4,STM32__DIFF_PUMP_SPEED,Diff Pump Speed,output
PG5,G5,STM32__VENT,Vent Solenoid,output
PG7,G7,STM32__GENLI,GENLI,output
PB1,B1,STM32__STARTER_RELAY,Starter Relay,output
PC5,C5,STM32__IMRC_1,IMRC 1,output
PA7,A7,STM32__IMRC_2,IMRC 2,output
PD8,D8,STM32__DPO1,DPO 1,output
PD10,D10,STM32__DPO2,DPO 2,output
PE10,E10,STM32__FUEL_FSO,Fuel FSO / PWR EN,output
PF3,EFI_ADC_37,STM32__PPSA/B,PPSA / PPSB (MUX),analog_input
PF4,EFI_ADC_38,STM32__TPSA/B,TPSA / TPSB (MUX),analog_input
PF5,EFI_ADC_39,STM32__CLT/IAT,CLT / IAT (MUX),analog_input
PF6,EFI_ADC_32,STM32__IMRC1/2,IMRC Sensor 1 / 2 (MUX),analog_input
PF7,EFI_ADC_33,STM32__OILP/FRT,Oil Pressure / Fuel Rail Temp (MUX),analog_input
PF8,EFI_ADC_34,STM32__DIFFT/TRANST,Diff Temp / Trans Temp (MUX),analog_input
PF9,EFI_ADC_35,STM32__ACP/FRP,AC Pressure / Fuel Rail Pressure (MUX),analog_input
PF10,EFI_ADC_36,STM32__FTPS/AAT,Fuel Tank Pressure / Ambient Air Temp (MUX),analog_input
PA1,EFI_ADC_1,STM32__KNOCK_1,Knock 1,analog_input
PA0,EFI_ADC_0,STM32__KNOCK_2,Knock 2,analog_input
PC0,EFI_ADC_10,STM32__OMAP_SENSOR,Onboard MAP Sensor,analog_input
PC1,EFI_ADC_11,STM32__VIGN,Ignition Voltage,analog_input
PH7,H7,STM32_CRANK,Crankshaft Sensor (via MAX9924),event_input
PH11,H11,STM32_CAM1,CAM1 Bank1 Exhaust (Hall),event_input
PH10,H10,STM32_CAM2,CAM2 Bank1 Intake (Hall),event_input
PH6,H6,STM32_CAM3,CAM3 Bank2 Exhaust (via MAX9924),event_input
PB14,B14,STM32_CAM4,CAM4 Bank2 Intake (via MAX9924),event_input
PH9,H9,STM32__VSS,VSS Vehicle Speed,event_input
PH8,H8,STM32__FLEX,Flex Fuel Sensor,event_input
PE9,E9,STM32__BRAKE_SWITCH_1,Brake Switch 1,switch_input
PD4,D4,STM32__BRAKE_SWITCH_2,Brake Switch 2,switch_input
PD14,D14,STM32__CLUTCH_D,Clutch Down Switch,switch_input
PG12,G12,STM32__CLUTCH_U,Clutch Up Switch,switch_input
PG13,G13,STM32__OIL_LEVEL_SWITCH,Oil Level Switch,switch_input
PD2,D2,STM32__START_AUTO,Start Autostart,switch_input
PD3,D3,STM32__SHIFT_PROGRESS,Shift Progress,switch_input
PD5,D5,STM32__START_REQ,Start Request,switch_input
PD6,D6,STM32_RVRS_SW,Reverse Switch,switch_input
PF2,F2,STM32__ADC_MUX,ADC MUX Select,output
PG0,G0,COMMS_LED,Comms LED,output
PG1,G1,RUN_LED,Run LED,output
PE7,E7,WARN_LED,Warn LED,output
PE8,E8,ERROR_LED,Error LED,output
PD13,D13,TLS115_EN,TLS115 5V Enable (setHellenEnPin),hardware
PD12,D12,TLS115_5V_PG,TLS115 5V Power Good (DIAG_5VP_PIN),hardware
